time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446500000	17.3347	5.4933	5.18729	0.863002	0.426884	lidar	0.295457	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5007	5.6915	5.18729	0.884346	0.426884	radar	3239.32	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7397	5.79145	5.16701	0.831521	0.315763	lidar	2.2367	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.9117	5.9831	5.16701	0.847309	0.315763	radar	4769.58	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0965	6.16854	5.17106	0.852508	0.299157	lidar	0.0601916	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.2646	6.36383	5.17106	0.867466	0.299157	radar	5668.77	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.3447	6.62173	5.16162	0.943874	0.393998	lidar	1.39202	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4936	6.83151	5.16162	0.963574	0.393998	radar	5854.79	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.6443	6.97473	5.11274	0.95563	0.356347	lidar	3.14303	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7894	7.18411	5.11274	0.973448	0.356347	radar	5975.01	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	19.0348	7.30721	5.10379	0.910316	0.233383	lidar	2.2054	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.1896	7.50897	5.10379	0.921985	0.233383	radar	6307.51	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.2047	7.8005	5.09416	1.03072	0.382284	lidar	3.26062	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.3331	8.01946	5.09416	1.04984	0.382284	radar	6314.18	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.353	8.25313	5.04786	1.1256	0.47275	lidar	3.8165	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4587	8.48141	5.04786	1.14924	0.47275	radar	7170.85	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.5276	8.6364	4.96969	1.16819	0.474646	lidar	7.61465	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.6219	8.86537	4.96969	1.19193	0.474646	radar	7060.98	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.8491	9.01458	4.96061	1.11888	0.328662	lidar	3.15046	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.9552	9.23782	4.96061	1.13531	0.328662	radar	8750.74	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	20.0976	9.45091	4.96726	1.12661	0.289868	lidar	0.264285	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	20.2023	9.67516	4.96726	1.14111	0.289868	radar	9163.22	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.2441	9.91836	4.95859	1.19311	0.347331	lidar	0.560757	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.3331	10.1488	4.95859	1.21047	0.347331	radar	12404.4	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.3063	10.426	4.95677	1.30139	0.458691	lidar	1.73912	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.3692	10.6648	4.95677	1.32432	0.458691	radar	10736.2	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.3938	10.9322	4.97091	1.37151	0.493823	lidar	0.427309	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.4398	11.1755	4.97091	1.3962	0.493823	radar	13493.8	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.415	11.4179	4.95182	1.45918	0.554085	lidar	0.935939	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.439	11.6634	4.95182	1.48688	0.554085	radar	13538.1	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.5237	11.9064	4.96253	1.47339	0.490308	lidar	0.686261	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.5447	12.1528	4.96253	1.49791	0.490308	radar	12370.1	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.4513	12.4276	4.97351	1.59036	0.591271	lidar	1.59451	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.4427	12.6753	4.97351	1.61992	0.591271	radar	13136.1	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.4597	12.9153	4.96915	1.62926	0.561446	lidar	0.151815	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.4417	13.1622	4.96915	1.65733	0.561446	radar	11981.7	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.3175	13.3673	4.92943	1.74733	0.661392	lidar	3.33143	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2703	13.6083	4.92943	1.7804	0.661392	radar	15028.9	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2652	13.8568	4.93462	1.7823	0.613376	lidar	0.349962	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.2098	14.0963	4.93462	1.81297	0.613376	radar	14533.3	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1359	14.3335	4.93591	1.85054	0.623581	lidar	0.0168258	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0643	14.5688	4.93591	1.88172	0.623581	radar	16723.7	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.8936	14.7856	4.93983	1.96995	0.709187	lidar	1.03968	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.7939	15.0106	4.93983	2.00541	0.709187	radar	15569.1	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8283	15.2508	4.91707	1.95473	0.583217	lidar	2.91426	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7333	15.4766	4.91707	1.98389	0.583217	radar	17897.3	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.7385	15.6932	4.87604	1.95384	0.500667	lidar	3.0819	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6449	15.9173	4.87604	1.97887	0.500667	radar	17559.4	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.5045	16.1054	4.86141	2.03539	0.550293	lidar	0.64146	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3929	16.3204	4.86141	2.0629	0.550293	radar	20148.6	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2345	16.4713	4.82521	2.12965	0.614526	lidar	2.30028	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1039	16.6731	4.82521	2.16038	0.614526	radar	20318.9	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9778	16.8671	4.81739	2.18657	0.608877	lidar	0.080208	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8362	17.0609	4.81739	2.21702	0.608877	radar	23602.1	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6765	17.2742	4.84333	2.24542	0.601686	lidar	0.847495	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.523	17.4603	4.84333	2.2755	0.601686	radar	22445.1	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.2576	17.5853	4.85866	2.37944	0.710474	lidar	1.93493	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.0795	17.7493	4.85866	2.41496	0.710474	radar	24102.3	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0213	17.9882	4.84057	2.35863	0.575567	lidar	2.97917	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.8479	18.1558	4.84057	2.3874	0.575567	radar	24074.8	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7324	18.3197	4.80042	2.38835	0.540425	lidar	2.19556	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.5557	18.4809	4.80042	2.41537	0.540425	radar	24312.6	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.3871	18.6592	4.80686	2.42714	0.516599	lidar	0.131712	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2041	18.8137	4.80686	2.45297	0.516599	radar	25971.4	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.0555	18.9602	4.77734	2.46496	0.499788	lidar	1.10474	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.8681	19.1069	4.77734	2.48995	0.499788	radar	30513.2	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.62	19.1695	4.77102	2.57561	0.591405	lidar	1.24308	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.4175	19.294	4.77102	2.60518	0.591405	radar	32963.9	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.2445	19.4863	4.78767	2.585	0.514573	lidar	1.17899	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0404	19.6097	4.78767	2.61073	0.514573	radar	28858.1	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8758	19.7905	4.78724	2.58908	0.443694	lidar	0.701454	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6714	19.9134	4.78724	2.61126	0.443694	radar	31014.2	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4753	20.0836	4.80497	2.60203	0.394617	lidar	0.733698	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2688	20.2046	4.80497	2.62176	0.394617	radar	39097.8	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.1104	20.3826	4.79302	2.59275	0.322948	lidar	0.866036	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.9057	20.5055	4.79302	2.60889	0.322948	radar	35688.2	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.689	20.6149	4.79675	2.63361	0.335458	lidar	0.0370241	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.4792	20.7293	4.79675	2.65039	0.335458	radar	39843.3	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1849	20.72	4.81073	2.75751	0.469272	lidar	2.67852	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9617	20.8071	4.81073	2.78097	0.469272	radar	39634.2	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.656	20.7949	4.84109	2.87867	0.57697	lidar	2.73734	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.4222	20.8542	4.84109	2.90752	0.57697	radar	38850.6	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1624	20.8673	4.84911	2.96464	0.618055	lidar	0.325927	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.924	20.9061	4.84911	2.99554	0.618055	radar	41646.3	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.732	21.0039	4.82433	2.97921	0.551691	lidar	1.47831	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4943	21.0394	4.82433	3.0068	0.551691	radar	47617.9	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2489	21.0834	4.83412	3.02584	0.537328	lidar	0.143546	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	12.0093	21.108	4.83412	3.05271	0.537328	radar	44033.5	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7403	21.0063	4.84207	3.15602	0.650354	lidar	1.86801	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4992	20.9989	4.84207	3.18854	0.650354	radar	45846.2	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2797	21.0246	4.82552	3.19504	0.614322	lidar	0.553624	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0399	21.0081	4.82552	3.22576	0.614322	radar	48771.1	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8163	20.9592	4.81057	3.27235	0.64067	lidar	0.375964	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5792	20.9241	4.81057	3.30439	0.64067	radar	54559.2	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.3128	21.0301	4.83163	3.24212	0.49568	lidar	3.45429	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0736	21.0029	4.83163	3.2669	0.49568	radar	52016	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.86389	20.9711	4.80443	3.2931	0.501759	lidar	0.951176	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.62776	20.932	4.80443	3.31819	0.501759	radar	53819.5	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.41954	20.8779	4.7803	3.35149	0.517241	lidar	0.779043	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.18729	20.8252	4.7803	3.37735	0.517241	radar	52690.9	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.90799	20.8015	4.82024	3.37586	0.47106	lidar	2.35539	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.67509	20.743	4.82024	3.39941	0.47106	radar	50244.5	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.41244	20.6043	4.86567	3.46367	0.526516	lidar	2.9082	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.18355	20.5245	4.86567	3.48999	0.526516	radar	56927.8	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.94257	20.4483	4.87666	3.50807	0.512658	lidar	0.179486	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.7169	20.3583	4.87666	3.5337	0.512658	radar	57220.7	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.42083	20.3423	4.91921	3.49729	0.413636	lidar	3.63732	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.19201	20.2545	4.91921	3.51797	0.413636	radar	61308.9	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.93237	20.1849	4.94151	3.51812	0.38013	lidar	0.779709	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.70432	20.0922	4.94151	3.53712	0.38013	radar	62230.2	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.45782	20.0111	4.95431	3.54231	0.358051	lidar	0.27409	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.23143	19.9127	4.95431	3.56022	0.358051	radar	63288.2	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.97372	19.8328	4.9757	3.55737	0.32488	lidar	0.72732	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.74777	19.7308	4.9757	3.57361	0.32488	radar	68823.9	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.56528	19.588	4.95342	3.62114	0.373766	lidar	0.961022	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.34741	19.4721	4.95342	3.63982	0.373766	radar	64765.4	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.13132	19.3837	4.94055	3.64125	0.348921	lidar	0.283994	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.91631	19.2638	4.94055	3.65869	0.348921	radar	65614.3	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
